LAST NAME,FIRST NAME,EMAIL,ZIPCODE,CITY,STATE,ADDRESS,PHONE
jones,gabby,ckirozaw@jumpstartlab.com,43220,columbus,oh,2196 shoreham rd.,6146205000
jones,bryndis,caiaz@jumpstartlab.com,16652,huntingdon,pa,juniata college box 67 1700 moore street,7179680000
jones,lauren,nylquit2@jumpstartlab.com,01086,westfield,ma,577 western ave,5089426000
jones,zach,olffj@jumpstartlab.com,20686,st. mary's city,md,16800 pt lookout rd,3213215000
jones,kayla,qbhosh@jumpstartlab.com,35215,birmingham,al,401 tupelo rd,7706533000
jones,joe,mxeden@jumpstartlab.com,48858,mount pleasant,mi,111 no road,8102523000
jones,erica,vvnessashakib@jumpstartlab.com,33143,miami,fl,7860 camino real #414,5613016000
jones,jennifer,qkss_hart@jumpstartlab.com,38567,omaha,ne,123 k st,4029904000
jones,natalie,qvremymg@jumpstartlab.com,05401,burlington,vt,9 booth st.,9086428000
jones,ludovic,aiexandra.landon@jumpstartlab.com,32309,tallahassee,fl,2234 monaghan drive,7579713000
jones,natalie,korkson.allegra@jumpstartlab.com,21216,x,md,x,3016131000
jones,jesse,hyica.r.anderson@jumpstartlab.com,18015,bethlehem,pa,box f041 31 university drive,6315593000
jones,robb,flozelhgl@jumpstartlab.com,24060,null,va,null,000
jones,josh,pkay@jumpstartlab.com,06320,b,il,b,2075776000
jones,ali,exorrester09@jumpstartlab.com,19128,philadelphia,pa,925 ronnie circle,7183054000
jones,matthew,culay_ja@jumpstartlab.com,02881,kingston,ri,17 fraternity,4012182000
jones,kathryn,yig33@jumpstartlab.com,47374,richmond,in,801 national road west,7659732000
jones,ambika,vwpink@jumpstartlab.com,,la crosse,wi,622 east ave n,2624837000
jones,katherine,uhlen@jumpstartlab.com,24450,lexington,va,2 frank parsons way,7578692000
jones,aar,xiliving@jumpstartlab.com,56321,collegeville,mn,st. john's university,6513243000
jones,justine,gxmberlyl2@jumpstartlab.com,30458,statesboro,ga,211 lanier dr. apt. 362,2292213000
